Country,City,Part of Europe,Smart_Mobility,Smart_Environment,Smart_Government,Smart_Economy,Smart_People,Smart_Living,SmartCity_Index
Luxembourg,Luxembourg,West,7540,5558,8528,8095,7098,7280,7311
Netherlands,Amsterdam,West,6480,6512,7516,4565,8618,9090,7138
Norway,Oslo,North,6302,7046,6878,5070,7734,9090,7051
Denmark,Copenaghen,North,6205,8184,7595,5135,6377,7200,6776
Austria,Vienna,Central,5683,7608,6232,5415,8580,7500,6771
Switzerland,Zurich,Central,5326,8775,5591,6265,6425,7960,6707
Sweden,Stockholm,North,5127,8100,7863,5518,6132,7730,6658
Finland,Helsinki,North,4912,6535,6148,8055,5980,5710,6643
France,Lyon,West,5969,7293,5934,7398,5400,6750,6453
Hungary,Budapest,Central,3785,6340,7604,9225,7285,4780,6124
Germany,Berlin,Central,5983,7204,5773,6480,5486,5456,6058
United Kingdom,London,North,6636,6950,4333,6570,5757,4550,5862
Iceland,Reykjavik,North,3333,6494,4784,7775,5425,7430,5722
Estonia,Tallinn,North,3880,3282,7640,7585,4955,7810,5681
Ireland,Dublin,North,5512,6696,5554,5490,6185,3950,5503
Latvia,Riga,North,3949,5837,6435,7910,4234,5575,5483
Belgium,Brussels,West,4447,5950,6110,5905,6680,4250,5379
Italy,Rome,South,4516,7131,5203,6587,4507,3950,5216
Spain,Madrid,South,6151,5605,5118,5240,5725,2740,5094
Slovakia,Ljubljana,Central,4540,4502,5490,7190,5503,4180,5089
Portugal,Lisbon,South,4605,4482,5852,6795,4522,3650,4860