Country,Part of Europe,City,Smart_Mobility,Smart_Environment,Smart_Government,Smart_Economy,Smart_People,Smart_Living,SmartCity_Index,crime_index
Luxembourg,West,Luxembourg,7540,5558,8528,8095,7098,7280,7311,13
Netherlands,West,Amsterdam,6480,6512,7516,4565,8618,9090,7138,10.5
Norway,North,Oslo,6302,7046,6878,5070,7734,9090,7051,3.7
Denmark,North,Copenaghen,6205,8184,7595,5135,6377,7200,6776,5.5
Austria,Central,Vienna,5683,7608,6232,5415,8580,7500,6771,4.1
Switzerland,Central,Zurich,5326,8775,5591,6265,6425,7960,6707,5.9
Sweden,North,Stockholm,5127,8100,7863,5518,6132,7730,6658,10.4
Finland,North,Helsinki,4912,6535,6148,8055,5980,5710,6643,5.8
France,West,Lyon,5969,7293,5934,7398,5400,6750,6453,15.4
Hungary,Central,Budapest,3785,6340,7604,9225,7285,4780,6124,5
Germany,Central,Berlin,5983,7204,5773,6480,5486,5456,6058,5.2
United Kingdom,North,London,6636,6950,4333,6570,5757,4550,5862,13.6
Iceland,North,Reykjavik,3333,6494,4784,7775,5425,7430,5722,3.4
Estonia,North,Tallinn,3880,3282,7640,7585,4955,7810,5681,5.6
Ireland,North,Dublin,5512,6696,5554,5490,6185,3950,5503,11.3
Latvia,North,Riga,3949,5837,6435,7910,4234,5575,5483,2.9
Belgium,West,Brussels,4447,5950,6110,5905,6680,4250,5379,6.6
Italy,South,Rome,4516,7131,5203,6587,4507,3950,5216,6.8
Spain,South,Madrid,6151,5605,5118,5240,5725,2740,5094,12.1
Slovakia,Central,Ljubljana,4540,4502,5490,7190,5503,4180,5089,6.9
Portugal,South,Lisbon,4605,4482,5852,6795,4522,3650,4860,5.1